"agencyName","county","agencyType"
"GASTON CO SHERIFF DEPT","Gaston County","Sheriff"
"GASTON COUNTY POLICE DEPT","Gaston County Police Dept","Police"
"GASTONIA CITY POLICE DEPT","Gaston County","Police"
"GIBSONVILLE POLICE DEPT","Alamance County, Guilford County","Police"
"GLEN ALPINE POLICE DEPT","Burke County","Police"
"GOLDSBORO POLICE DEPT","Wayne County","Police"
"GRAHAM COUNTY SHERIFF DEPT","Graham County","Sheriff"
"GRAHAM POLICE DEPT","Alamance County","Police"
"GRANITE FALLS POLICE DEPT","Caldwell County","Police"
"GRANITE QUARRY POLICE DEPT","Rowan County","Police"
"GRANVILLE COUNTY SHERIFF DEPT","Granville County","Sheriff"
"GREENE COUNTY SHERIFF DEPT","Greene County","Sheriff"
"GREENVILLE POLICE DEPT","Pitt County","Police"
"GUILFORD COUNTY SHERIFF DEPT","Guilford County","Sheriff"
"HALIFAX COUNTY SHERIFF DEPT","Halifax County","Sheriff"
"HAMLET POLICE DEPT","Richmond County","Police"
"HARNETT COUNTY SHERIFF DEPT","Harnett County","Sheriff"
"HAVELOCK POLICE DEPT","Craven County","Police"
"HAW RIVER POLICE DEPT","Alamance County","Police"
"HAYWOOD COUNTY SHERIFF DEPT","Haywood County","Sheriff"
"HENDERSON POLICE DEPT","Vance County","Police"
"HERTFORD COUNTY SHERIFF DEPT","Hertford County","Sheriff"
"HIGH POINT POLICE DEPT","Davidson County, Forsyth County, Guilford County, Randolph County","Police"
"HIGHLANDS POLICE DEPT","Jackson County, Macon County","Police"
"HILLSBOROUGH POLICE DEPT","Orange County","Police"
"HOKE COUNTY SHERIFF DEPT","Hoke County","Sheriff"
"HOLLY RIDGE POLICE DEPT","Onslow County","Police"
"HOLLY SPRINGS POLICE","Wake County","Police"
"HOPE MILLS POLICE DEPT","Cumberland County","Police"
"HUNTERSVILLE POLICE DEPT","Mecklenburg County","Police"
"HYDE COUNTY SHERIFF DEPT","Hyde County","Sheriff"
"JACKSON COUNTY SHERIFF DEPT","Jackson County","Sheriff"
"JACKSON POLICE DEPT","Northampton County","Police"
"JACKSONVILLE POLICE DEPT","Onslow County","Police"
"JONES COUNTY SHERIFF DEPT","Jones County","Sheriff"
"JONESVILLE POLICE DEPT","Yadkin County","Police"
"KENANSVILLE POLICE DEPT","Duplin County","Police"
"KERNERSVILLE POLICE DEPT","Forsyth County, Guilford County","Police"
"KILL DEVIL HILLS POLICE DEPT","Dare County","Police"
"KING POLICE DEPT","Stokes County","Police"
"KINGS MOUNTAIN POLICE DEPT","Cleveland County, Gaston County","Police"
"KINSTON POLICE DEPT","Lenoir County","Police"
"KITTY HAWK POLICE DEPT","Dare County","Police"
"KURE BEACH POLICE DEPT","New Hanover County","Police"
"LAKE LURE POLICE DEPT","Rutherford County","Police"
"LAKE WACCAMAW POLICE DEPT","Columbus County","Police"
"LANDIS POLICE DEPT","Rowan County","Police"
"LAURINBURG POLICE DEPT","Scotland County","Police"
"LEE COUNTY SHERIFF DEPT","Lee County","Sheriff"
"LELAND POLICE DEPT","Brunswick County","Police"
"LENOIR COUNTY SHERIFF DEPT","Lenoir County","Sheriff"
"LENOIR POLICE DEPT","Caldwell County","Police"
"LEXINGTON POLICE DEPT","Davidson County","Police"
"LIBERTY POLICE DEPT","Randolph County","Police"
"LILLINGTON POLICE DEPT","Harnett County","Police"
"LINCOLNTON POLICE DEPT","Lincoln County","Police"
"LITTLETON POLICE DEPT","Halifax County","Police"
"LONG VIEW POLICE DEPT","Burke County, Catawba County","Police"
"LOUISBURG COLLEGE CAMPUS POLICE DEP","Universities","Police"
"LOUISBURG POLICE DEPT","Franklin County","Police"
"LOWELL POLICE DEPT","Gaston County","Police"
"LUMBERTON POLICE DEPT","Robeson County","Police"
"MACON COUNTY SHERIFF DEPT","Macon County","Sheriff"
"MADISON COUNTY SHERIFF DEPT","Madison County","Sheriff"
"MADISON POLICE DEPT","Rockingham County","Police"
"MAGGIE VALLEY POLICE DEPT","Haywood County","Police"
"MARION POLICE DEPT","Mcdowll County","Police"
"MARS HILL POLICE DEPT","Madison County","Police"
"MARTIN COUNTY SHERIFF DEPT","Martin County","Sheriff"
"MATTHEWS POLICE DEPT","Mecklenburg County","Police"
"MAXTON POLICE DEPT","Robeson County, Scotland County","Police"
"MAYODAN POLICE DEPT","Rockingham County","Police"
"MAYSVILLE POLICE DEPT","Jones County","Police"
"MCDOWELL COUNTY SHERIFF DEPT","Mcdowell County","Sheriff"
"MEBANE POLICE DEPT","Alamance County, Orange County","Police"
"MIDDLESEX POLICE DEPT","Nash County","Police"
"MINT HILL POLICE DEPT","Mecklenburg County, Union County","Police"
"MITCHELL COUNTY SHERIFF DEPT","Mitchell County","Sheriff"
"MOCKSVILLE POLICE DEPT","Davie County","Police"
"MOORE COUNTY SHERIFF DEPT","Moore County","Sheriff"
"MOORESVILLE POLICE DEPT","Iredell County","Police"
"MOREHEAD CITY POLICE DEPT","Carteret County","Police"
"MORGANTON POLICE","Burke County","Police"
"MOUNT AIRY POLICE DEPT","Surry County","Police"
"MOUNT GILEAD POLICE DEPT","Montgomery County","Police"
"MOUNT HOLLY POLICE DEPT","Gaston County","Police"
"MOUNT OLIVE POLICE DEPT","Duplin County, Wayne County","Police"
"MURFREESBORO POLICE DEPT","Hertford County","Police"
"MURPHY POLICE DEPT","Cherokee County","Police"
"NAGS HEAD POLICE DEPT","Dare County","Police"
"NASH COUNTY ALCOHOLIC BEV CONTROL","Nash County Alcoholic Bev Control","ABC"
"NAVASSA POLICE DEPT","Brunswick County","Police"
"NC ALCOHOL LAW ENFORCEMENT","State","ABC"
"NC DEPT CRIME CONTROL  PUB SAFETY-","State","State"
"NC DEPT OF HEALTH AND HUMAN SVCS","State","State"
"NC DIVISION OF PRISONS","State","State"
"NC JUSTICE ACADEMY","State","State"
"NC PARKS & REC FALLS LAKE REC AREA","State","State"
"NC STATE BUREAU OF INVESTIGATION","State","State"
"NC STATE CAPITOL POLICE","State","Police"
"NC STATE HIGHWAY PATROL","State","State"
"NC STATE PORT AUTHORITY POLICE","State","Police"
"NEW BERN POLICE DEPT","Craven County","Police"
"NEW HANOVER COUNTY SHERIFF DEPT","New Hanover County","Sheriff"
"NEWTON POLICE DEPT","Catawba County","Police"
"NORLINA POLICE DEPT","Warren County","Police"
"NORTH TOPSAIL BEACH POLICE DEPT","Onslow County","Police"
"NORTH WILKESBORO POLICE DEPT","Wilkes County","Police"
"NORTHAMPTON COUNTY SHERIFF DEPT","Northampton County","Sheriff"
"NORTHWEST POLICE DEPT","Brunswick County","Police"
"NORWOOD POLICE DEPT","Stanly County","Police"
"OAKBORO POLICE","Stanly County","Police"
"OCEAN ISLE BEACH POLICE DEPT","Brunswick County","Police"
"OLD FORT POLICE DEPT","Mcdowell County","Police"
"ONSLOW COUNTY SHERIFF DEPT","Onslow County","Sheriff"
"ORANGE COUNTY SHERIFF DEPT","Orange County","Sheriff"
"ORIENTAL POLICE DEPT","Pamlico County","Police"
"PAMLICO COUNTY SHERIFF DEPT","Pamlico County","Sheriff"
"PARKTON POLICE DEPT","Robeson County","Police"
"PASQUOTANK COUNTY SHERIFF DEPT","Pasquotank County","Sheriff"
"PENDER COUNTY SHERIFF DEPT","Pender County","Sheriff"
"PERSON COUNTY SHERIFF DEPT","Person County","Sheriff"
"PILOT MOUNTAIN POLICE DEPT","Surry County","Police"
"PINE LEVEL POLICE DEPT","Johnston County","Police"
"PINEBLUFF POLICE DEPT","Moore County","Police"
"PINEHURST POLICE DEPT","Moore County","Police"
"PINETOPS POLICE DEPT","Edgecombe County","Police"
"PITT COUNTY SHERIFF OFFICE","Pitt County","Sheriff"
"PITTSBORO POLICE DEPT","Chatham County","Police"
"PLYMOUTH POLICE DEPT","Washington County","Police"
"POLK COUNTY SHERIFF DEPT","Polk County","Sheriff"
"RALEIGH DURHAM INTL AIRPORT POLICE","Durham County, Wake County","Police"
"RAMSEUR POLICE DEPT","Randolph County","Police"
"RANDLEMAN POLICE DEPT","Randolph County","Police"
"RANDOLPH COUNTY SHERIFF DEPT","Randolph County","Sheriff"
"RANLO POLICE DEPT","Gaston County","Police"
"REIDSVILLE POLICE DEPT","Rockingham County","Police"
"RICH SQUARE POLICE DEPT","Northampton County","Police"
"RICHMOND COUNTY SHERIFF DEPT","Richmond County","Sheriff"
"ROANOKE RAPIDS POLICE DEPT","Halifax County","Police"
"ROBBINS POLICE DEPT","Moore County","Police"
"ROBESON COUNTY SHERIFF DEPT","Robeson County","Sheriff"
"ROCKINGHAM COUNTY SHERIFF DEPT","Rockingham County","Sheriff"
"ROCKINGHAM POLICE DEPT","Richmond County","Police"
"ROCKWELL POLICE DEPT","Rowan County","Police"
"ROLESVILLE POLICE DEPT","Wake County","Police"
"ROWAN COUNTY SHERIFF DEPT","Rowan County","Sheriff"
"ROWLAND POLICE DEPT","Robeson County","Police"
"RUTHERFORD COUNTY SHERIFF DEPT","Rutherford County","Sheriff"
"RUTHERFORDTON POLICE DEPT","Rutherford County","Police"
"SAINT PAULS POLICE DEPT","Robeson County","Police"
"SALISBURY POLICE DEPT","Rowan County","Police"
"SAMPSON COUNTY SHERIFF DEPT","Sampson County","Sheriff"
